model_id,macrocycle_number,phase,rep_scheme,intensity_pct
3.3,14,accumulation,8x5,
3.3,14,intensification,10x2,
3.3,14,accumulation_2,10x4,
3.3,14,intensification_2,"3,3,3,2,2,2,1,1,1",
3.3,15,accumulation,7x6,
3.3,15,intensification,"5,5,3,3,3,1,1,1",
3.3,15,accumulation_2,9x5,
3.3,15,intensification_2,13x2,
3.3,16,accumulation,9x4,
3.3,16,intensification,12x2,
3.3,16,accumulation_2,12x3,
3.3,16,intensification_2,"3,2,1,3,2,1,3,2,1"
